FID,Wet_Maxent,NPP,Economy,Category,Status,Sitename
28,1,1218,Mixed,Anth,Predict,
504,1,1218,Mixed,Anth,Predict,
616,1,1223,Fishing/Foraging,Anth,Predict,
341,1,1226,Fishing/Foraging,Anth,Predict,
672,1,1230,Fishing/Foraging,Anth,Predict,
363,1,1232,Fishing/Foraging,Anth,Predict,
198,2,1233,Mixed,Anth,Predict,
227,1,1234,Mixed,Anth,Predict,
327,1,1236,Fishing/Foraging,Anth,Predict,
207,4,1237,Pastoralist,Anth,Predict,
859,4,1239,Mixed,Anth,Predict,
896,1,1240,Fishing/Foraging,Anth,Predict,
191,1,1241,Fishing/Foraging,Anth,Predict,
510,1,1253,Mixed,Anth,Predict,
214,2,1258,Non Anth,Non Anth,Predict,
325,1,1258,Fishing/Foraging,Anth,Predict,
302,1,1260,Fishing/Foraging,Anth,Predict,
471,1,1260,Pastoralist,Anth,Predict,
881,1,1261,Fishing/Foraging,Anth,Predict,
189,1,1263,Mixed,Anth,Predict,
887,1,1268,Fishing/Foraging,Anth,Predict,
428,1,1273,Pastoralist,Anth,Predict,
508,1,1274,Mixed,Anth,Predict,
205,4,1284,Pastoralist,Anth,Predict,
268,2,1284,Mixed,Anth,Predict,
397,4,1286,Pastoralist,Anth,Predict,
31,1,1287,Mixed,Anth,Predict,
239,1,1290,Fishing/Foraging,Anth,Predict,
368,4,1304,Pastoralist,Anth,Predict,
768,1,1305,Fishing/Foraging,Anth,Predict,
894,1,1310,Fishing/Foraging,Anth,Predict,
794,4,1311,Pastoralist,Anth,Predict,
14,4,1315,Mixed,Anth,Predict,
223,2,1320,Non Anth,Non Anth,Predict,
644,1,1325,Fishing/Foraging,Anth,Predict,
713,1,1325,Fishing/Foraging,Anth,Predict,
79,2,1331,Mixed,Anth,Predict,
906,1,1338,Fishing/Foraging,Anth,Predict,
247,1,1339,Mixed,Anth,Predict,
581,1,1346,Pastoralist,Anth,Predict,
321,4,1347,Pastoralist,Anth,Predict,
372,4,1351,Pastoralist,Anth,Predict,
213,4,1352,Pastoralist,Anth,Predict,
878,1,1353,Fishing/Foraging,Anth,Predict,
605,2,1358,Non Anth,Non Anth,Predict,
888,1,1359,Fishing/Foraging,Anth,Predict,
498,1,1361,Mixed,Anth,Predict,
161,3,1365,Non Anth,Non Anth,Predict,
698,4,1365,Pastoralist,Anth,Predict,
336,4,1366,Pastoralist,Anth,Predict,
193,4,1372,Pastoralist,Anth,Predict,
584,2,1373,Non Anth,Non Anth,Predict,
171,3,1377,Non Anth,Non Anth,Predict,
738,4,1377,Mixed,Anth,Predict,
693,4,1378,Mixed,Anth,Predict,
153,1,1381,Mixed,Anth,Predict,
800,4,1386,Pastoralist,Anth,Predict,
600,3,1397,Pastoralist,Anth,Predict,
319,3,1402,Non Anth,Non Anth,Predict,
761,4,1406,Pastoralist,Anth,Predict,
854,4,1407,Mixed,Anth,Predict,
502,4,1410,Mixed,Anth,Predict,
867,4,1414,Mixed,Anth,Predict,
382,4,1417,Pastoralist,Anth,Predict,
396,4,1418,Pastoralist,Anth,Predict,
810,1,1419,Pastoralist,Anth,Predict,
509,1,1423,Fishing/Foraging,Anth,Predict,
417,4,1425,Pastoralist,Anth,Predict,
188,1,1426,Fishing/Foraging,Anth,Predict,
356,1,1432,Mixed,Anth,Predict,
518,4,1433,Mixed,Anth,Predict,
877,4,1433,Pastoralist,Anth,Predict,
851,4,1434,Pastoralist,Anth,Predict,
380,1,1440,Fishing/Foraging,Anth,Predict,
499,1,1441,Fishing/Foraging,Anth,Predict,
